eventtype,eventid,episodeid,eventname,glide,name,description,htmldescription,icon,iconoverall,url,alertlevel,alertscore,episodealertlevel,episodealertscore,istemporary,iscurrent,country,fromdate,todate,datemodified,iso3,source,sourceid,polygonlabel,Class,affectedcountries,severitydata,geometry,
FL,1100459,5,Uganda,,Flood in Uganda,Flood in Uganda,Orange Flood in Uganda from: 01 May 2020 00 to: 09 May 2020 00.,https://www.gdacs.org/images/gdacs_icons/maps/Green/FL.png,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=FL&eventid=1100459&episodeid=5"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=1100459&episodeid=5&eventtype=FL"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=FL&eventid=1100459"" }",Orange,2,Green,0.5,FALSE,FALSE,Uganda,01/05/2020 00:00,09/05/2020 00:00,05/06/2020 13:12,UGA,GLOFAS,,Centroid,Point_Centroid,"[ { ""iso3"": ""UGA"", ""countryname"": ""Uganda"" } ]","{ ""severity"": 0, ""severitytext"": ""Magnitude 0 "", ""severityunit"": """" }",POINT (34.5635806926613 1.35166485),
FL,1100302,1,Uganda,,Flood in Uganda,Flood in Uganda,Orange Flood in Uganda from: 03 Dec 2019 00 to: 03 Dec 2019 00.,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=FL&eventid=1100302&episodeid=1"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=1100302&episodeid=1&eventtype=FL"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=FL&eventid=1100302"" }",Orange,2,Orange,1.5,FALSE,FALSE,Uganda,03/12/2019 00:00,03/12/2019 00:00,19/12/2019 09:04,UGA,GLOFAS,,Centroid,Point_Centroid,"[ { ""iso3"": ""UGA"", ""countryname"": ""Uganda"" } ]","{ ""severity"": 0, ""severitytext"": ""Magnitude 0 "", ""severityunit"": """" }",POINT (33.9505933 0.9221019),
DR,1012703,4, South Sudan - Uganda - Kenya-2018,,"Drought in Congo, DRC, Central African Republic, Kenya, South Sudan, Uganda","Drought in Congo, DRC, Central African Republic, Kenya, South Sudan, Uganda","Orange Drought in Congo, DRC, Central African Republic, Kenya, South Sudan, Uganda from: 21 Oct 2018  to: 30 Dec 2018 .",https://www.gdacs.org/images/gdacs_icons/maps/Orange/DR.png,https://www.gdacs.org/images/gdacs_icons/maps/Orange/DR.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=DR&eventid=1012703&episodeid=4"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=1012703&episodeid=4&eventtype=DR"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=DR&eventid=1012703"" }",Orange,2,Orange,1.5,FALSE,FALSE,"Congo, DRC, Central African Republic, Kenya, South Sudan, Uganda",21/10/2018 00:00,30/12/2018 14:05,26/02/2019 09:21,COD,GDO,,Centroid,Point_Centroid,"[ { ""iso3"": ""CAF"", ""countryname"": ""Central African Republic"" }, { ""iso3"": ""KEN"", ""countryname"": ""Kenya"" }, { ""iso3"": ""SSD"", ""countryname"": ""South Sudan"" }, { ""iso3"": ""UGA"", ""countryname"": ""Uganda"" } ]","{ ""severity"": 331753, ""severitytext"": ""Medium impact for agricultural drought in 331753 km2"", ""severityunit"": ""km2"" }",POINT (30.911 3.637),
FL,3170,1,,FL-2007-000161-UGA,Flood in Uganda,Flood in Uganda,ORANGE Flood in Uganda from: 15 Aug 2007 00 to: 15 Aug 2007 00.,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,https://www.gdacs.org/images/gdacs_icons/maps/ORANGE/FL.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=FL&eventid=3170&episodeid=1"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=3170&episodeid=1&eventtype=FL"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=FL&eventid=3170"" }",ORANGE,2,Orange,2,FALSE,FALSE,Uganda,15/08/2007 00:00,15/08/2007 00:00,15/08/2007 00:00,   ,DFO,,Centroid,Point_Centroid,"[ { ""iso3"": ""UGA"", ""countryname"": ""Uganda"" } ]","{ ""severity"": 7.0999999999999996, ""severitytext"": ""Magnitude 7.10"", ""severityunit"": """" }",POINT (34.276 0.881),
EQ,18102,18103,,EQ-2006-000053-COD,Earthquake in Uganda,Earthquake in Uganda,Orange M 5.3 Earthquake in Uganda at: 27 Apr 2006 04:18:28.,https://www.gdacs.org/images/gdacs_icons/maps/Orange/EQ.png,https://www.gdacs.org/images/gdacs_icons/maps/Orange/EQ.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=EQ&eventid=18102&episodeid=18103"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=18102&episodeid=18103&eventtype=EQ"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=EQ&eventid=18102"" }",Orange,2,Orange,1.5,FALSE,FALSE,Uganda,27/04/2006 04:18,27/04/2006 04:18,08/02/2017 20:16,UGA,NEIC,,Centroid,Point_Centroid,"[ { ""iso3"": ""UGA"", ""countryname"": ""Uganda"" } ]","{ ""severity"": 5.2999999999999998, ""severitytext"": ""Magnitude 5.3M, Depth:10km"", ""severityunit"": ""M"" }",POINT (30.0176 0.3067),
TC,1001060,15,HIDAYA-24,,Tropical Cyclone HIDAYA-24,Tropical Cyclone HIDAYA-24,"Orange Tropical Cyclone HIDAYA-24 in Tanzania, Seychelles, Comoros from: 01 May 2024  to: 04 May 2024 .",https://www.gdacs.org/images/gdacs_icons/maps/Green/TC.png,https://www.gdacs.org/images/gdacs_icons/maps/Orange/TC.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=TC&eventid=1001060&episodeid=15"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=1001060&episodeid=15&eventtype=TC"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=TC&eventid=1001060"" }",Orange,2,Green,1,FALSE,FALSE,"Tanzania, Seychelles, Comoros",01/05/2024 00:00,04/05/2024 12:00,13/05/2024 09:32,COM,RSMC,,Centroid,Point_Centroid,,"[ { ""iso3"": ""TZA"", ""countryname"": ""Tanzania"" }, { ""iso3"": ""SYC"", ""countryname"": ""Seychelles"" }, { ""iso3"": ""COM"", ""countryname"": ""Comoros"" } ]","{ ""severity"": 147.77683200000001, ""severitytext"": ""Low (maximum wind speed of 148 km\/h)"", ""severityunit"": ""km\/h"" }",POINT (39.47 -7.54)
FL,1102555,3,,FL-2024-000058-TZA,Flood in Tanzania,Flood in Tanzania,Orange Flood in Tanzania from: 28 Mar 2024 01 to: 28 Apr 2024 18.,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=FL&eventid=1102555&episodeid=3"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=1102555&episodeid=3&eventtype=FL"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=FL&eventid=1102555"" }",Orange,2,Orange,1.5,FALSE,FALSE,Tanzania,28/03/2024 01:00,28/04/2024 18:00,30/04/2024 11:00,TZA,GLOFAS,,Centroid,Point_Centroid,,"[ { ""iso3"": ""TZA"", ""countryname"": ""Tanzania"" } ]","{ ""severity"": 0, ""severitytext"": ""Magnitude 0 "", ""severityunit"": """" }",POINT (39.2803583 -6.8160837)
EQ,28761,28796,,,Earthquake in Tanzania,Earthquake in Tanzania,Orange M 5.9 Earthquake in Tanzania at: 17 Jul 2007 14:10:42.,https://www.gdacs.org/images/gdacs_icons/maps/Orange/EQ.png,https://www.gdacs.org/images/gdacs_icons/maps/Orange/EQ.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=EQ&eventid=28761&episodeid=28796"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=28761&episodeid=28796&eventtype=EQ"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=EQ&eventid=28761"" }",Orange,2,Orange,1.5,FALSE,FALSE,Tanzania,17/07/2007 14:10,17/07/2007 14:10,13/02/2017 21:25,TZA,NEIC,,Centroid,Point_Centroid,,"[ { ""iso3"": ""TZA"", ""countryname"": ""Tanzania"" } ]","{ ""severity"": 5.9000000000000004, ""severitytext"": ""Magnitude 5.9M, Depth:8km"", ""severityunit"": ""M"" }",POINT (36.2811 -2.5858)
EQ,15261,15264,,,Earthquake in Tanzania,Earthquake in Tanzania,Red M 6.8 Earthquake in Tanzania at: 05 Dec 2005 12:19:55.,https://www.gdacs.org/images/gdacs_icons/maps/Red/EQ.png,https://www.gdacs.org/images/gdacs_icons/maps/Red/EQ.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=EQ&eventid=15261&episodeid=15264"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=15261&episodeid=15264&eventtype=EQ"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=EQ&eventid=15261"" }",Red,3,Red,2.5,FALSE,FALSE,Tanzania,05/12/2005 12:19,05/12/2005 12:19,01/03/2018 14:31,TZA,NEIC,,Centroid,Point_Centroid,,"[ { ""iso3"": ""TZA"", ""countryname"": ""Tanzania"" } ]","{ ""severity"": 6.7999999999999998, ""severitytext"": ""Magnitude 6.8M, Depth:10km"", ""severityunit"": ""M"" }",POINT (29.5992 -6.2117)
EQ,598,602,,,Earthquake in Tanzania,Earthquake in Tanzania,Orange M 5.3 Earthquake in Tanzania at: 04 Nov 2002 03:19:00.,https://www.gdacs.org/images/gdacs_icons/maps/Orange/EQ.png,https://www.gdacs.org/images/gdacs_icons/maps/Orange/EQ.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=EQ&eventid=598&episodeid=602"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=598&episodeid=602&eventtype=EQ"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=EQ&eventid=598"" }",Orange,2,Orange,1.5,FALSE,FALSE,Tanzania,04/11/2002 03:19,04/11/2002 03:19,07/02/2017 09:20,TZA,NEIC,,Centroid,Point_Centroid,,"[ { ""iso3"": ""TZA"", ""countryname"": ""Tanzania"" } ]","{ ""severity"": 5.2999999999999998, ""severitytext"": ""Magnitude 5.3M, Depth:0km"", ""severityunit"": ""M"" }",POINT (36.6 -5.1)
