rw-river-article__title,rw-entity-meta__tag-link 2,rw-entity-meta__tag-value__list__item 2,rw-entity-meta__tag-value__list__item,rw-river-article__title href,rw-entity-meta__tag-link href,rw-entity-meta__tag-link,rw-entity-meta__tag-link href 2,rw-entity-meta__tag-value--status--past,rw-entity-meta__tag-label 2,rw-entity-meta__tag-label 3,rw-entity-meta__tag-value--status--ongoing
Sudan: Floods - Jun 2017,Sudan,,1 more,https://reliefweb.int/disaster/fl-2017-000088-sdn,https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29,Flash Flood,https://reliefweb.int/country/sdn,Past Disaster,Disaster types,Affected country,
Ethiopia: Measles Outbreak - May 2017,Ethiopia,,"",https://reliefweb.int/disaster/ep-2017-000069-eth,https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29,Epidemic,https://reliefweb.int/country/eth,Past Disaster,Disaster type,Affected country,
East Africa: Armyworm Infestation - Mar 2017,Kenya,,5 more,https://reliefweb.int/disaster/2017-000041-ken,https://reliefweb.int/disasters?list=Insect%20Infestation%20Disasters&advanced-search=%28TY5255%29,Insect Infestation,https://reliefweb.int/country/ken,Past Disaster,Disaster type,Affected countries,
Rwanda: Severe Local Storm - Apr 2017,Rwanda,,"",https://reliefweb.int/disaster/st-2017-000035-rwa,https://reliefweb.int/disasters?list=Severe%20Local%20Storm%20Disasters&advanced-search=%28TY4656%29,Severe Local Storm,https://reliefweb.int/country/rwa,Past Disaster,Disaster type,Affected country,
Burundi: Malaria Outbreak - Mar 2017,Burundi,,"",https://reliefweb.int/disaster/ep-2017-000034-bdi,https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29,Epidemic,https://reliefweb.int/country/bdi,Past Disaster,Disaster type,Affected country,
Southern Africa: Armyworm Infestation - Jan 2017,Zimbabwe,,10 more,https://reliefweb.int/disaster/2017-000019-zmb,https://reliefweb.int/disasters?list=Insect%20Infestation%20Disasters&advanced-search=%28TY5255%29,Insect Infestation,https://reliefweb.int/country/zwe,Past Disaster,Disaster type,Affected countries,
Somalia: Measles Outbreak - Dec 2016,Somalia,,"",https://reliefweb.int/disaster/ep-2016-000131-som,https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29,Epidemic,https://reliefweb.int/country/som,"",Disaster type,Affected country,
Tanzania: Earthquake - Sept 2016,Tanzania,,1 more,https://reliefweb.int/disaster/eq-2016-000098-tza,https://reliefweb.int/disasters?list=Earthquake%20Disasters&advanced-search=%28TY4628%29,Earthquake,https://reliefweb.int/country/tza,Past Disaster,Disaster type,Affected countries,
Burundi: Cholera Outbreak - Jul 2016,Burundi,,"",https://reliefweb.int/disaster/ce-2015-000182-bdi,https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29,Epidemic,https://reliefweb.int/country/bdi,Past Disaster,Disaster type,Affected country,
South Sudan: Cholera Outbreak - Jul 2016,South Sudan,,1 more,https://reliefweb.int/disaster/ep-2016-000074-ssd,https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29,Epidemic,https://reliefweb.int/country/ssd,Past Disaster,Disaster type,Affected countries,
