id,name,country,date,description,type,status,glide,url
51197,Djibouti: Drought - Mar 2022,Djibouti,"{'changed': '2023-10-24T16:56:42+00:00', 'created': '2022-03-03T00:00:00+00:00', 'event': '2022-03-03T00:00:00+00:00'}","The ongoing drought and compounding regional and international shocks resulting in high price volatility are affecting the food security and nutrition situation in Djibouti. Rural populations in Ali Sabieh, Arta, Obock, Tadjourah and Dikhil are particularly exposed to extreme deprivation and no longer able to cope due to lack of access to main basic services as water, health, and education. Malnutrition rates are almost double from last year in at least one health center visited by DG ECHO in May 2022. Communities report the depletion of livestock assets, loss of body mass index, and lack of milk production followed by death of livestock. According to the latest IPC, approximately 13% of the population (132,000 people) is facing acute food insecurity (IPC3) and is in need of immediate assistance. Projections indicate an increase in food insecurity to 16% of the population by December 2022. ([ECHO, 7 Jun 2022](https://reliefweb.int/node/3854203))

IPC projections for July to December 2022 indicate an increase in the number of acutely food insecure people, likely reaching 192,168 people, representing 16% of analysed population (1.2 million people, which is about the entire country). The number of people in emergency (IPC 4) will likely increase 12,390 people, a 250% rise from the current numbers, while the 179,778 people could be in crisis (IPC 3).

Current IPC analysis for the period of March to June 2022, highlight that approximately 132,000 people, representing 11% of the analysed population (of nearly 1.2 million people), are estimated to be acutely food insecure (IPC Phase 3 and 4). More precisely, an estimated 5,000 people (less than one percent of the population analysed) are estimated to already be in Emergency (IPC Phase 4) and approximately 127,000 people (11% of the population analysed) are in Crisis (IPC Phase 3). ([IFRC, 1 Jul 2022](https://reliefweb.int/node/3862372))

According to the latest Integrated Food Security Phase Classification (IPC), about 285 000 people are estimated to face severe acute food insecurity (IPC Phase 3 [Crisis] and IPC Phase 4 [Emergency]) in the July‑December 2023 period. This figure, which includes about 185,000 people in IPC Phase 3 (Crisis) and 100,000 in IPC Phase 4 (Emergency), amounts to about one‑quarter of the country’s population and it is almost 50 percent higher on a yearly basis.The high prevalence and severity of acute food insecurity and the deterioration of the food security situation are mainly due to the lingering impact of a prolonged and severe drought, which affected livelihoods between late 2020 and early 2023, and resulted in a reduction of livestock numbers by about 50 percent due to widespread deaths, severely constraining incomes and availability of livestock products for pastoralist households.([FAO, 07 Aug 2023](https://reliefweb.int/node/3986886))
### Appeals & Response Plans

- [![IFRC: Djibouti: Hunger Crisis - Emergency Plan of Action (EPoA) DREF Operation no. MDRDJ005 - Cover preview](https://reliefweb.int/sites/default/files/styles/small/public/previews/73/1a/731ac1bc-5a94-449b-8868-2f5478a44abd.png) IFRC: Djibouti: Hunger Crisis - Emergency Plan of Action (EPoA) DREF Operation no. MDRDJ005](https://reliefweb.int/node/3862372)","[{'id': 4672, 'name': 'Drought', 'code': 'DR', 'primary': True}]",past,DR-2022-000238-DJI,https://reliefweb.int/taxonomy/term/51197
49518,Djibouti: Floods - Nov 2019,Djibouti,"{'changed': '2020-02-24T21:18:24+00:00', 'created': '2019-11-21T00:00:00+00:00', 'event': '2019-11-21T00:00:00+00:00'}","Since 21 November, Djibouti has experienced heavy rains which triggered flash floods across the country. In Djibouti city alone, initial estimates indicate that over 30,000-40,000 families (150,000-250,000 people) have been somewhat affected by the floods, and 9 people (7 children) have reportedly been killed. Reports indicate that between 21 and 24 November, almost 300mm of rain were recorded in Djibouti city alone, or over three times the annual average. Dwellings, shops, schools and infrastructure have been damaged. In some neighborhoods, access to electricity was also interrupted. In other areas of the country, damages to roads and flash floods have affected access to several communities, and information available to date indicate that at least 300 families are now in need of urgent humanitarian assistance in Tadjourah region alone. The recently inaugurated Tadjourah-Balho road, and road between Djibouti and Tadjourah suffered severe damages. A bridge in Arta area (PK53) is in danger of collapsing. ([UNCT Djibouti/Gov't of Djibouti, 24 Nov 2019](https://reliefweb.int/node/3409423))


 Some 250,000 people have been affected countrywide (26% of the population), and 150,000 (including migrants and refugees) are in need of immediate humanitarian assistance. In Djibouti city alone, 200,000 were affected (21% of the total population) and 120,000 require immediate relief support. Some 10 people (7 children) have reportedly been killed. Floods also caused widespread destruction of infrastructure, homes and livelihoods. ([UNCT Djibouti/Gov't of Djibouti, 05 Dec 2019](https://reliefweb.int/node/3426433))


Heavy rains fell between 21 and 28 November 2019 with a peak between 22 and 23 November in Djibouti. The equivalent of two years of precipitation occurred in one day. New rains between 7 and 10 December made access to the affected areas more difficult. 11 people (including 7 children) lost their lives due to flooding and a landslide due to heavy rainfall. ([UNCT Djibouti/Gov't of Djibouti, 17 Dec 2019](https://reliefweb.int/node/3444263))
### Key Content

- [![Govt. Djibouti: 2019 Flash Floods Humanitarian Needs Rapid Assessment - Cover preview](https://reliefweb.int/sites/default/files/styles/small/public/previews/6e/6c/6e6c1848-8eea-3437-8ad1-e2211fc51a02.png) Govt. Djibouti: 2019 Flash Floods Humanitarian Needs Rapid Assessment](https://reliefweb.int/node/3426433)","[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",past,FL-2019-000156-DJI,https://reliefweb.int/taxonomy/term/49518
49398,Horn of Africa: Locust Infestation - Oct 2019,Democratic Republic of the Congo,"{'changed': '2022-11-11T09:29:38+00:00', 'created': '2019-10-03T00:00:00+00:00', 'event': '2019-10-03T00:00:00+00:00'}","A Desert Locust infestation has been ravaging crop and pasture-land, as well as trees and other vegetation since June 2019 in parts of Afar, Amhara, Somali and Tigray regions. The swarms have produced hopper bands that have covered more than 174 square kilometers (in 56 woredas and 1085 kebeles) and are consuming approximately 8,700 metric tons of green vegetation every day...In Afar region, the Desert Locust is spreading to Gewane and Amibara woredas. Over 21,000 hectares (across 15 woredas) was aerially sprayed. ([OCHA, 3 Nov 2019](https://reliefweb.int/node/3379523))    

The Desert Locust (Schistocerca gregaria) infestation in **Ethiopia** has deteriorated, despite ongoing ground and aerial control operations...Hoppers have fledged, and an increasing number of small immature and mature swarms have continued to devour crop and pasture fields in Tigray, Amhara, Oromia, and Somali regional states. In Amhara, some farms have registered nearly 100 percent loss of teff, a staple crop in Ethiopia. Moreover, eggs are hatching profusely and forming hopper bands in the Somali region, due to the heavy rainfall. The hopper bands recorded to date have covered more than 351 km2 and are consuming at least 1 755 000 MT of green vegetation per day...If not controlled, the Desert Locusts could continue moving within Ethiopia and invade northeast **Kenya**, the western lowlands and highlands of **Eritrea**, the Red Sea coastal plains in Eritrea, and adjacent southern coastal areas in Sudan. ([FAO, 7 Nov 2019](https://reliefweb.int/node/3383708))

Despite major control and prevention operations, substantial crop losses have already occurred in the Amhara and Tigray regions of **Ethiopia**. The hopper bands -- young locust populations moving together -- have covered nearly 430 square kilometres and have consumed about 1.3 million metric tonnes of vegetation over a two-month period. The formation of bands is ongoing in the rangelands of the Ethiopian Somali Region; and massive new swarms will arrive from Yemen and Somalia. In **Eritrea**, big swarms of immature adults that migrated from Ethiopia, were identified and controlled around Shieb, Gahtielay, Wengebo and Beareze of the Northern Red Sea Coast. Moreover, the swarms of Tree Locust have been detected in Tserona, Mai-seraw, Quatit and Digsa districts of Southern Eritrea. ([FAO, 16 Dec 2019](https://reliefweb.int/node/3442723))

The rains have provided favourable conditions for the further breeding of locusts, resulting in total loss of vegetable, fruit and fodder crops, including free-grazing areas. The infestation represents a real threat which could trigger human and animal starvation. The locusts' destruction has impacted Arta, Ali-Sabieh (100 per cent), and Dikhil (As Eyla and Hanle areas) regions, affecting 80 per cent of the total cultivated land. There are reports indicating that the invasion is expanding to the Tadjourah and Obock regions. ([OCHA, 16 Dec 2019](https://reliefweb.int/node/3443308))

**Somalia** faces the worst Desert Locust outbreak in over 25 years. Desert Locust breeding is ongoing in Galmudug (Mudug), Puntland and Somaliland. An estimated 70 000 hectares of land have been infested by hoppers and breeding adults, which have already damaged crops and pasture in **Ethiopia** and **Somalia**.  Over the next six months, more than 100 000 hectares of land will require direct control interventions in **Somalia**. ([FAO, 18 Dec 2019](https://reliefweb.int/node/3447128))

The current situation remains extremely serious in the Horn of Africa where, despite control operations, an increasing number of swarms formed in eastern **Ethiopia**, including the Ogaden, and perhaps adjacent areas of northwest **Somalia**. Although some swarms moved to **Eritrea** and **Djibouti**, the majority moved south in the Ogaden and Somalia, and several large swarms reached **Kenya** at the end of the month. There is a risk that some swarms could possibly reach **South Sudan** and **Uganda**.  ([FAO, 06 Jan  2020](https://reliefweb.int/node/3464613))

The unusually heavy rains that have impacted Eastern Africa since October 2019—driven by the strongest positive Indian Ocean Dipole since 2016—have contributed to a serious and widespread desert locust outbreak, according to FAO and IGAD*. **Eritrea**, **Ethiopia**, **Kenya**, **Somalia** and **Sudan** have been affected, with the outbreaks in Ethiopia and Somalia the worst in 25 years, and in Kenya the worst in 75 years. There remains a risk that locusts could appear in south-east **South Sudan** and north-east **Uganda**. ([OCHA, 17 Jan  2020](https://reliefweb.int/node/3483258))

The Government of **Djibouti** estimates that the damage caused by the Desert Locust infestations on vegetation cover (crops and pastures) have already caused a loss of around USD 5 million for the six regions of the country. ([Djibouti Govt/FAO, 03 Feb 2020](https://reliefweb.int/node/3504368))

The situation remains extremely alarming in **Kenya**, **Ethiopia** and **Somalia** where widespread Desert Locust infestations and a new generation of breeding threatens food security and livelihoods in the region. The situation is less worrisome in **Uganda** and **Tanzania**.  ([FAO, 17 Feb 2020](https://reliefweb.int/node/3526299))

Desert locusts have rapidly spread across the Greater Horn of Africa in the worst infestation in decades. Despite control efforts, eight countries in eastern Africa are now affected (**Djibouti, Eritrea, Ethiopia, Kenya, Somalia, South Sudan, Uganda and the United Republic of Tanzania**). ([FAO, 26 Feb 2020](https://reliefweb.int/node/3539508))

Across the ten countries covered by the appeal, over 365 000 ha have been controlled to date, of which an estimated 20 percent was infested by hopper bands and 80 percent by swarms. Thanks to these operations, and based on very preliminary analyses and projections of areas controlled and likely damage caused if not controlled, it is anticipated that 720 000 tonnes of cereal have already been saved, worth around USD 220 million. This is enough to feed almost 5 million people for one year. Through damage averted to rangeland and livestock tropical units, an additional 350 000 pastoral households have been spared from livelihood loss and distress. ([FAO, 11 May 2020](https://reliefweb.int/node/3633397))

In East Africa, only a few immature swarms remain in northwest **Kenya** where aerial control operations continue. A small third generation of breeding is likely to commence in October but may be limited by below-normal Short Rains that are predicted for this year. In northeast **Ethiopia**, numerous hopper bands are present mainly in the Afar region from substantial breeding. Although aerial control operations are in progress, new swarms are likely to form in the coming weeks. In **Somalia**, aerial control operations using biopesticides are making good progress against immature swarms on the northern plateau in Somaliland and Puntland. Further south, an increasing number of adult groups were reported in the central region of Galguduud in the past week. In **Yemen**, hopper bands and swarms continue to be present in the interior and are spreading to coastal areas in the south and on the Red Sea. Limited control operations were undertaken in some areas. ([FAO, 18 Sep 2020](https://reliefweb.int/node/3671532))

Important and widespread breeding continues in eastern **Ethiopia** and central **Somalia** where new swarms are expected to start forming in early December and move south to **Kenya** and southern Somalia by mid-December. Control operations are underway. In **Eritrea**, immature swarms that arrived from northern Ethiopia have scattered throughout the highlands to nearly the Sudan border. In **Sudan**, hopper bands and immature adult groups are persisting between the Red Sea Hills and the Atbara River. More immature swarms have been seen in the Tokar Delta on the Red Sea coast in the past few days. In **Yemen**, summer-bred swarms are still present in parts of the interior. On the 8th, a swarm was seen flying near Bayhan. ([FAO, 12 Nov 2020](https://reliefweb.int/node/3687289))

According to a recent Government report, desert locust infestation in July has damaged 365,015 hectares of cropland, including 283,172 hectares in East and West Hararge zone of Oromia region (impacting 499,505 farmers) and 81,843 hectares in Oromo Special Zone, South Wollo, and North Wollo zones in Amhara region (impacting 795,774 farmers). Separate reports indicated that similar infestations have destroyed 95 hectares of cropland in Afar region, as well as 132,596 hectares of cropland and 283,457 hectares of pastureland in Amhara region. Widespread locust breading activities is currently witnessed in eastern Ethiopia. While, few immature swarms persist in Afar region, the immature swarms between Jijiga and Degehabur in Somali region are more of concern, as some are maturing. With this development, the epicenter of the locust seems to have moved from northern Ethiopia to eastern Ethiopia as the hopper bands in the North have moved to **Eritrea** and good rainfall in eastern **Ethiopia** has created favorable breeding conditions. The situation would have been much worse without the control operations that have increased over the month of October, treating an estimated 335,453 hectares of land across Ethiopia. ([OCHA, 20 Nov 2020](https://reliefweb.int/node/3690028))

Numerous immature swarms formed in eastern Ethiopia and central Somalia during December, which moved to southern Ethiopia, reaching northern Kenya on 21 December. More swarms will arrive during January and spread throughout southern Ethiopia and northern, central, and eastern counties of Kenya where they will mature and lay eggs that will hatch and give rise to hopper bands from late January onwards. ([FAO, 4 Jan 2021](https://reliefweb.int/node/3702574))

In **Kenya**, immature swarms persist mainly in northern and central counties. In the past five days, swarms have been reported in 15 counties. [...] A similar situation is underway in **Ethiopia** where immature swarms persist mainly in southern SNNP (South Omo) and east of the Rift Valley in Oromia (Bale, Borema, Arsi). [...] In **Somalia**, a few new immature swarms have started to form in the past few days from breeding in the northeast (Puntland) where hopper bands are still present. [...] In **Yemen**, scattered adults are maturing along the Red Sea coastal plains where small scale breeding could occur in the few areas that remain favourable. Current infestations are not high enough to warrant control operations. No surveys were conducted recently along the Gulf of Aden plains. ([FAO, 9 Feb 2021](https://reliefweb.int/node/3711808))

In **Kenya**, a few small immature swarms continue to be seen mainly in the Rift Valley of Nakuru county west of Mt. Kenya. There were also occasional swarm reports south of Nairobi and further north in Samburu county.  In **Ethiopia**, control operations continue against a few small immature swarms in the highlands east of the Rift Valley, mainly in Arsi district of Oromia region and, to a lesser extent, further north in East Harerghe district. The situation has calmed down in southern Oromia and SNNP. In **Somalia**, control operations are continuing in the northeast (Puntland) against some immature swarms on the plateau northwest of Iskushuban. In the northwest (Somaliland), scattered immature adults are present on the plateau between Hargeisa and Burao. In northern **Tanzania**, small-scale hatching occurred northwest of Arusha from remnants of mature swarms that laid eggs at the beginning of March. In **Saudi Arabia**, locust infestations declined on the northern Red Sea coast.  ([FAO, 9 Feb 2021](https://reliefweb.int/node/3725187))

The current upsurge showed signs of significant decline during March as Desert Locust swarms continued to decrease in **Kenya**, **Ethiopia** and **Somalia** due to ongoing control operations and poor rainfall... Limited breeding occurred in northeast **Tanzania** from remnants of earlier swarms. Although winter-bred infestations declined along both side of the Red Sea, late hatching and hopper band formation occurred in **Sudan**. More importantly, widespread hatching and hopper band formation took place in the interior of **Saudi Arabia** where control operations combined with earlier than normal dry and hot conditions should be able to reduce these infestations. In addition, strong winds carried a few small mature swarms to **Kuwait** and southwest **Iran**. This could lead to hatching and band formation in southwest Iran during April and May. ([FAO, 3 Apr 2021](https://reliefweb.int/node/3727046))

Desert Locust swarms are continuing to decline in Kenya, Ethiopia and Somalia as a result of ongoing control operations. However, good rains have fallen this month in parts of northern Kenya and southern Ethiopia that should allow current swarms to mature and lay eggs. This is likely to give rise to hatching and the formation of hopper bands during May. ([FAO, 13 Apr 2021](https://reliefweb.int/node/3729511))

Ground teams are detecting an increasing number of early instar hopper bands that are forming in eastern Ethiopia and northwest Somalia as more eggs hatch. This will continue until about mid-June as mature swarms are still laying eggs in some places. Ground and aerial control operations are in progress. In Saudi Arabia, control operations continue in the spring breeding areas of the interior where groups of immature adults have formed and are likely to move south to Yemen for eventual breeding in the interior. So far, a few groups have already migrated to within about 100 km of Yemen. A new round of breeding signifies the potential for a further increase in locust numbers in the Horn of Africa. If hopper band infestations are not adequately detected and treated, new smarms could form from late June onwards and move west during July to the Afar region in northeast Ethiopia for summer breeding. Locust numbers could build up in the interior of Yemen that may eventually threaten the Horn of Africa. ([FAO, 27 May 2021](https://reliefweb.int/node/3742187))

Aerial control operations continue against a few small immature swarms on the plateau in northwest Somalia while one swarm was seen in the northeast. Limited swarm breeding is thought to be underway in northern Ethiopia where good rains have fallen, but the security situation has deteriorated in the Afar region during the past week, hampering survey and control operations by air and ground. In Yemen, small-scale breeding is underway in the interior. Elsewhere, the situation remains calm, and no significant developments are likely. Swarms are not likely to move from Ethiopia and Somalia to Eritrea, Sudan, Yemen, and Saudi Arabia now. Instead, the swarms in northern Somalia may move back and forth across the Ethiopia / Somalia border where they are likely to persist and remain immature due to dry conditions. ([FAO, 12 Aug 2021](https://reliefweb.int/node/3764552))

The locust situation remains serious in the Horn of Africa and Yemen. As anticipated, new immature swarms began to form after mid-September in the summer breeding areas of northeast Ethiopia and most likely in adjacent areas of the northern highlands where hopper bands were reported. The scale of the breeding is not well known, and control operations could not be conducted due to insecurity. Although limited field operations began to resume in some areas by the end of the month, more small immature swarms will form in Afar, Tigray, and Amhara regions of Ethiopia during October. As vegetation dries out, they will migrate north through the highlands to Eritrea and the Red Sea coast as well as east perhaps through Djibouti at times to eastern Ethiopia and northern Somalia. October rains that are expected in the Somali region of eastern Ethiopia and adjacent plateau and coastal areas of northern Somalia will allow the summer-bred swarms and the remaining spring-bred swarms to mature and lay eggs, giving rise to hatching and hopper band formation from about early November onwards. Similarly, any swarms that reach the Red Sea coast of Eritrea from northern Ethiopia are likely to mature and breed once winter rains commence. Although limited control operations were carried out in the interior of Yemen, more small swarms are expected to form and move to coastal areas along the Red Sea and Gulf of Aden for eventual breeding. A few swarms may cross to northern Somalia while any swarms that reach the Red Sea coast of Yemen could continue to adjacent coastal areas of southwest Saudi Arabia. Elsewhere, the situation is calm. ([FAO, 1 Oct 2021](https://reliefweb.int/node/3779180))

The few spring-bred swarms that have remained in northeast Somalia are now mature and starting to copulate. No swarms have been reported recently in northwest Somalia, Djibouti, or Ethiopia. Nevertheless, a few summer-bred swarms are likely to have formed in parts of Afar and adjacent areas of southeast Tigray and eastern Amhara regions. Unfortunately, this cannot be confirmed as most areas are not accessible. No surveys have been conducted recently in Yemen where a few summer-bred swarms are likely to be present in parts of the interior. In Sudan, only low numbers of scattered adults are present in the interior with local breeding in the Bayuda Desert north of Khartoum where a few groups are forming as vegetation dries out. Elsewhere, the situation remains calm. ([FAO, 14 Oct 2021](https://reliefweb.int/node/3782739))

 A few small mature swarms, most likely those that arrived on the Ethiopia/Kenya border earlier this month, have concentrated in southern Ethiopia between Konso and the Kenya border where control operations are underway. There have been no further reports of locusts in Kenya and elsewhere in Ethiopia. Aerial and ground control operations continue against small hopper bands in northeast Somalia while scattered adults persist in the northwest. ([FAO, 24 Nov 2021](https://reliefweb.int/node/3794507))

As late instar hopper bands continue to fledge, more new small immature swarms are forming in northeast Somalia where aerial and ground control operations are in progress north of Garowe. Limited aerial control operations continue against a few small immature and mature swarms that persist in the Rift Valley of SNNP near the Kenya border. Low numbers of solitarious locusts are present in winter breeding areas along both sides of the Red Sea and on the Gulf of Aden coast of northwest Somalia, and limited breeding has started in a few places. ([FAO, 23 Dec 2021](https://reliefweb.int/node/3803783))

After more than two years, the current Desert Locust upsurge has finally declined. Aerial control operations against the few small immature swarms that remained in northeast **Somalia** ended on 4 January. During the remainder of the month, no locusts were seen in **Ethiopia** and **Kenya**, and southerly migration was not detected. As ecological conditions are dry due to a lack of rainfall in the Horn of Africa, the likelihood of any further developments in the region is low but vigilance is suggested during February. Adding to the collapse of the upsurge, poor rains have limited winter breeding to a small area along both sides of the **Egypt/Sudan** border on the Red Sea coast. While small-scale breeding may occur during February on the coastal plains near the **Sudan/Eritrea** border and in a few places on the **Saudi Arabia** and **Yemen** coast, it is likely to be limited and should not cause a significant increase in locusts.  ([FAO, 1 Feb 2022](https://reliefweb.int/node/3813540))

The current Desert Locust upsurge has finally ended in the Horn of Africa after more than two years of intensive survey and control operations carried out by ground and air with generous support from the international community. For nearly the second consecutive month, no significant locust infestations have been detected in **Djibouti**, **Eritrea**, **Ethiopia**, **Somalia**, and **Kenya** during February. Although rain has not fallen recently and ecological conditions are dry, small groups of immature adults were seen moving southwards in eastern Ethiopia, which suggests that a few residual infestations may still be present. Therefore, surveys and vigilance should be maintained. ([FAO, 2 Mar 2022](https://reliefweb.int/node/3822773))
### Useful Links

- [FAO Locust Watch](http://www.fao.org/ag/locusts/en/info/info/index.html)
- [FAO and the Desert Locust crisis in the Horn of Africa](http://www.fao.org/emergencies/crisis/desertlocust/en/)
- [Desert Locust Control Organization for Eastern Africa (DLCO-EA)](http://dlco-ea.org/final/index.php)","[{'id': 5255, 'name': 'Insect Infestation', 'code': 'IN', 'primary': True}]",past,IN-2019-000149-ETH,https://reliefweb.int/taxonomy/term/49398
45784,Tropical Cyclone Sagar - May 2018,Djibouti,"{'changed': '2018-08-28T16:20:46+00:00', 'created': '2018-05-19T00:00:00+00:00', 'event': '2018-05-19T00:00:00+00:00'}","A tropical cyclone formed in the Gulf of Aden between Yemen and northern Somalia on 16 May 2018. The cyclone system caused heavy rains along the coast of Puntland on 17 May. Flash flooding was reported in the Bari region, which were not limited to seasonal riverbeds. The road linking Bossaso and points south has reportedly been affected. There are also reports of some fishing boats having been washed away by waves off the coast of Sanaag region, which along with Sool are disputed between Somaliland and Puntland. The two authorities have been engaged in an armed standoff in Sool that had displaced almost 10,000 people prior to the storms arrival, further complicating an already complex humanitarian picture. By 18 May, the cyclone had gained strength, reaching tropical storm-wind levels and assigned the name Tropical Cyclone Sagar. Heavy rains are projected for the escarpment and plateau of Somaliland. ([OCHA 19 May 2018](https://reliefweb.int/node/2612094))

In Somaliland, the largest concentration of fatalities were reported in coastal Galbeed and Awdal, where the cyclone made landfall. Houses were destroyed, and livestock washed away. The heavy rains and subsequent flooding are hindering humanitarians’ ability to access some of the areas affected by the cyclone to assess the extent of the damage and provide assistance. In Puntland, severe weather conditions also resulted in fatalities, livestock loss and the destruction of farms, property and infrastructure including fishing boats...Meanwhile, forces from Puntland and Somaliland have been engaged in an armed standoff in Sool that had displaced almost 10,000 people prior to the cyclone’s arrival, further complicating an already complex humanitarian picture. By the morning of 20 May, meteorological authorities were reporting that Sagar was beginning to weaken into a tropical depression. The tropical depression itself has remained over parts of Ethiopia, Djibouti and north-west Somaliland, about 140 kilometres from Hargeisa. ([OCHA , 20 May 2018](https://reliefweb.int/node/2612679))","[{'id': 4618, 'name': 'Tropical Cyclone', 'code': 'TC', 'primary': True}]",past,TC-2018-000059-SOM,https://reliefweb.int/taxonomy/term/45784
8727,Horn of Africa Crisis: 2011-2012,Djibouti,"{'changed': '2018-04-12T00:09:33+00:00', 'created': '2011-07-18T00:00:00+00:00', 'event': '2011-07-18T00:00:00+00:00'}","The Horn of Africa crisis of 2011-2012 affected 13 million people. The main focus of the crisis was across southern Ethiopia, south-central Somalia and northern Kenya. Regional drought came on top of successive bad rains and rising inflation. It ramped up a chronic livelihoods crisis into a tipping point of potential disaster by putting extreme pressure on food prices, livestock survival, and water and food availability. Armed conflict across the region compounded chronic ecological and economic vulnerability, which escalated the crisis and limited people’s survival and recovery choices. ([IASC Real-Time Evaluation of the Humanitarian Response to the Horn of Africa Drought Crisis in Somalia, Ethiopia and Kenya - Synthesis Report](https://reliefweb.int/node/511694))

The famine in Somalia, which was [declared by the UN on 20 Jul 2011](https://reliefweb.int/node/426914), had [ended by 3 Feb 2012](https://reliefweb.int/node/474541), but many affected populations in the region remain in need of humanitarian assistance.


###<img width=""200"" height=""38"" src=https://fts.unocha.org/sites/all/themes/custom/fts_public/logo.png>
[Djibouti](http://ftsarchive.unocha.org/pageloader.aspx?page=emerg-emergencyCountryDetails&cc=dji),  [Eritrea](http://ftsarchive.unocha.org/pageloader.aspx?page=emerg-emergencyCountryDetails&cc=eri), [Ethiopia](http://hhttp://ftsarchive.unocha.org/pageloader.aspx?page=emerg-emergencyCountryDetails&cc=eth), [Kenya](http://ftsarchive.unocha.org/pageloader.aspx?page=emerg-emergencyCountryDetails&cc=ken), [Somalia](http://ftsarchive.unocha.org/pageloader.aspx?page=emerg-emergencyCountryDetails&cc=som)
### Appeals & Response Plans

- [![OCHA: Djibouti Appel global 2013 - Cover preview](https://reliefweb.int/sites/default/files/styles/small/public/previews/6a/b3/6ab31efb-84e1-3823-b993-86cd13e5c57c.png) OCHA: Djibouti Appel global 2013](https://reliefweb.int/node/548676)
- [![Govt. Ethiopia: Humanitarian Requirements - 2013 - Cover preview](https://reliefweb.int/sites/default/files/styles/small/public/previews/08/79/0879db40-edde-34ad-b0b8-0549cc17377d.png) Govt. Ethiopia: Humanitarian Requirements - 2013](https://reliefweb.int/node/560237)
- [![OCHA: Emergency Humanitarian Response Plan for Kenya 2013 - Cover preview](https://reliefweb.int/sites/default/files/styles/small/public/previews/44/49/44495abd-eff4-3fc3-ba75-d257aa44e24b.png) OCHA: Emergency Humanitarian Response Plan for Kenya 2013](https://reliefweb.int/node/544752)
- [![OCHA: Somalia Consolidated Appeal 2013-2015 - Cover preview](https://reliefweb.int/sites/default/files/styles/small/public/previews/27/f3/27f3468d-b80e-34c4-ba65-6a4b3e587f5e.png) OCHA: Somalia Consolidated Appeal 2013-2015](https://reliefweb.int/node/542629)

### Useful Links

- [Horn of Africa Learning and Accountability Portal](http://www.hornofafricaportal.org)","[{'id': 4672, 'name': 'Drought', 'code': 'DR', 'primary': True}, {'id': 5042, 'name': 'Other', 'code': 'OT'}]",past,DR-2011-000029-KEN,https://reliefweb.int/taxonomy/term/8727
5440,Influenza A (H1N1) Pandemic - Apr 2009,Afghanistan,"{'changed': '2015-03-20T18:41:51+00:00', 'created': '2009-04-24T00:00:00+00:00', 'event': '2009-04-24T00:00:00+00:00'}","Since its emergence in April 2009, pandemic influenza A(H1N1) 2009 virus affected all parts of the world, causing the first influenza pandemic since 1968. Following the observation that 1 or 2 epidemic periods had occurred in most countries and in most WHO Regions, WHO declared on 10 Aug 2010 that the world was moving into the post-pandemic period. ([WHO, 18 Feb 2011](https://reliefweb.int/node/389128))","[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",past,EP-2009-000084-MEX,https://reliefweb.int/taxonomy/term/5440
5875,Djibouti: Floods - Apr 2004,Djibouti,"{'changed': '2018-08-09T18:13:45+00:00', 'created': '2004-04-16T00:00:00+00:00', 'event': '2004-04-16T00:00:00+00:00'}",Data not available,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",past,N/A,https://reliefweb.int/taxonomy/term/5875
4897,Djibouti: Toxic Pollution - Mar 2002,Djibouti,"{'changed': '1970-01-01T00:00:00+00:00', 'created': '2002-03-08T00:00:00+00:00', 'event': '2002-03-08T00:00:00+00:00'}",Data not available,"[{'id': 4620, 'name': 'Technological Disaster', 'code': 'AC', 'primary': True}]",past,AC-2002-000140-DJI,https://reliefweb.int/taxonomy/term/4897
5650,Djibouti: Drought - Aug 1999,Djibouti,"{'changed': '1970-01-01T00:00:00+00:00', 'created': '1999-08-12T00:00:00+00:00', 'event': '1999-08-12T00:00:00+00:00'}",Data not available,"[{'id': 4672, 'name': 'Drought', 'code': 'DR', 'primary': True}]",past,DR-1999-000267-DJI,https://reliefweb.int/taxonomy/term/5650
5479,Djibouti: Drought - Jul 1996,Djibouti,"{'changed': '1970-01-01T00:00:00+00:00', 'created': '1996-07-01T00:00:00+00:00', 'event': '1996-07-01T00:00:00+00:00'}",Data not available,"[{'id': 4672, 'name': 'Drought', 'code': 'DR', 'primary': True}]",past,N/A,https://reliefweb.int/taxonomy/term/5479
