ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
34,0,Sudan,0,24.9139,13.489,63577.12,1985-07-19,1985-07-22,News,0,0,Heavy rain,1.0
43,0,Ethiopia,0,39.7851,11.0514,92580.07,1985-08-17,1985-08-19,News,0,8000,Heavy rain,1.0
178,0,Rwanda,,30.4125,-0.829098,40351.4,1988-05-06,1988-05-15,News,52,23628,Torrential rain,1.0
217,0,Sudan,,34.1974,15.0782,354132.25,1988-08-05,1988-09-10,News,91,2000000,Heavy rain,2.0
270,0,Uganda,0,30.2586,0.179812,14344.36,1988-11-23,1988-12-07,News,0,5000,Torrential rain,1.0
350,0,Burundi,0,29.4075,-3.48207,1331.75,1989-08-07,1989-08-09,News,0,0,Tropical cyclone,1.0
354,0,Djibouti,0,42.7015,11.6618,11889.5,1989-08-09,1989-08-25,News,0,0,Heavy rain,1.0
378,0,Somalia,0,44.287,1.4561,29030.07,1989-11-06,1989-11-14,News,0,0,Heavy rain,1.0
382,0,Tanzania,0,37.8116,-11.2926,69915.08,1989-12-17,1989-12-25,News,1,0,Heavy rain,1.0
299,0,Djibouti,0,42.5836,11.6058,17356.28,1989-04-07,1989-04-12,News,9,150000,Heavy rain,1.0
403,0,Tanzania,0,35.6693,-6.50308,777754.38,1990-04-03,1990-05-01,News,100,4100000,Heavy rain,2.0
455,0,Ethiopia,0,35.1973,7.00329,167068.59,1990-08-27,1990-09-01,News,0,50300,Heavy rain,1.0
550,0,Ethiopia,0,41.1624,14.1556,54883.35,1991-07-25,1991-07-26,News,2,0,Heavy rain,1.0
568,0,Sudan,0,33.8431,13.344,104587.97,1991-08-12,1991-08-13,News,3,18000,Heavy rain,1.0
683,0,Sudan,0,34.1325,17.4541,741567.54,1992-08-23,1992-08-31,News,4,1600,Heavy rain,1.0
696,0,Ethiopia,0,35.8071,7.11522,87638.04,1992-09-20,1992-09-24,News,0,300,Heavy rain,1.0
731,0,Tanzania,0,37.8933,-5.14777,42112.47,1993-02-08,1993-02-12,News,54,2900,Heavy rain,1.0
821,0,Tanzania,0,38.4373,-9.38978,65599.48,1994-01-09,1994-01-13,News,31,7000,Heavy rain,1.0
843,0,Uganda,0,30.1332,0.277229,9570.23,1994-04-30,1994-05-02,News,11,0,Heavy rain,1.0
870,0,Ethiopia,0,40.9756,11.6671,20898.85,1994-07-28,1994-08-03,News,4,30000,Heavy rain,1.0
877,0,Sudan,0,30.026,15.5645,1094009.75,1994-08-04,1994-08-17,News,8,2000,Heavy rain,2.0
885,0,Ethiopia,0,38.0793,11.8465,21306.15,1994-08-15,1994-08-18,News,18,0,Heavy rain,1.0
890,0,Ethiopia,0,40.3477,10.664,163207.32,1994-08-25,1994-08-31,News,87,6000,Heavy rain,1.0
920,0,Ethiopia,0,37.8668,7.67392,20499.85,1994-11-12,1994-11-18,News,22,0,Heavy rain,1.0
922,0,Djibouti,0,42.6066,11.7781,20793.91,1994-11-17,1994-11-22,News,70,100000,Heavy rain,1.0
923,0,Somalia,0,49.4749,10.9856,16608.05,1994-11-19,1994-11-21,News,30,0,Heavy rain,1.0
925,0,Djibouti,0,42.9549,11.3455,2677.27,1994-12-09,1994-12-15,News,40,100000,Heavy rain,1.0
916,0,Somalia,0,42.5292,0.748137,83022.5,1994-11-04,1994-11-11,News,100,0,Heavy rain,1.0
939,0,Tanzania,0,33.7006,-8.84509,36217.05,1995-03-04,1995-03-10,News,0,2000,Heavy rain,1.0
947,0,Ethiopia,0,43.2278,5.17608,67450.15,1995-04-28,1995-05-15,News,27,89875,Heavy rain,2.0
955,0,Tanzania,0,39.0934,-6.7697,5076.78,1995-05-27,1995-06-01,News,4,20000,Heavy rain,1.0
981,0,Ethiopia,0,39.9431,10.577,195893.72,1995-08-11,1995-08-18,News,44,2000,Heavy rain,1.0
1031,0,Somalia,0,45.3359,2.21007,6308.13,1995-11-04,1995-11-07,News,20,300,Heavy rain,1.0
1064,0,Kenya,0,34.6474,-0.478939,12428.48,1996-04-08,1996-04-11,News,0,1000,Heavy rain,1.0
1075,0,Ethiopia,0,41.9351,9.4547,355425.81,1996-05-29,1996-06-10,News,40,50000,Heavy rain,1.0
1076,0,Somalia,0,45.201,4.53955,4532.73,1996-06-13,1996-06-14,News,3,400,Heavy rain,1.0
1103,0,Ethiopia,0,38.95,11.558,468886.77,1996-08-12,1996-08-30,News,0,30000,Heavy Rain,2.0
1107,0,Sudan,0,33.0459,16.3551,107541.26,1996-09-02,1996-09-06,News,17,4000,Heavy Rain,1.0
1111,0,Sudan,0,32.5514,15.6171,10691.5,1996-09-10,1996-09-15,News,0,800,Heavy Rain,1.0
1126,0,Sudan,0,28.8983,7.04878,69798.15,1996-10-22,1996-10-26,News,102,8000,Heavy Rain,1.0
1127,0,Somalia,0,45.5183,3.55799,64924.17,1996-11-06,1996-11-10,News,0,2000,Heavy Rain,1.0
1154,0,Tanzania,0,38.2344,-9.62715,148922.15,1997-03-20,1997-04-15,News,61,3000,Heavy rain,1.0
1156,0,Somalia,0,46.6188,3.30559,27158.42,1997-05-02,1997-05-07,News,0,1740,Heavy rain,1.0
1175,0,Sudan,0,29.6279,18.3168,659807.43,1997-08-18,1997-08-20,News,0,5200,Heavy rain,1.0
1195,0,Somalia,Kenya,43.7102,3.64911,713804.88,1997-10-19,1997-11-28,News,2000,230000,Heavy rain,2.0
1201,0,Tanzania,0,34.0253,-6.08419,323808.14,1997-12-20,1997-12-31,News,38,104000,Heavy rain,1.0
1223,0,Ethiopia,0,37.5439,5.99224,12361.43,1997-04-19,1997-04-22,News,29,0,Heavy rain,1.0
1249,0,Sudan,0,23.7585,12.7493,199029.73,1997-07-25,1997-07-30,News,5,3000,Heavy rain,1.0
1277,0,Kenya,0,39.7108,-3.00967,34475.16,1997-10-15,1997-10-23,News,23,0,Heavy rain,1.0
1282,0,Sudan,0,32.5751,16.276,20687.2,1997-10-07,1997-10-09,News,1,300,Heavy rain,1.0
1284,0,Kenya,0,39.8117,-0.852182,8840.19,1997-11-30,1997-12-03,News,11,10000,Heavy rain,1.0
1285,0,Tanzania,0,34.2604,-1.8476,28956.16,1997-11-14,1997-11-28,News,0,400,Heavy rain,1.0
1286,0,Uganda,0,34.1226,1.18459,20737.67,1997-11-14,1997-11-28,News,35,20000,Heavy rain,1.0
1298,0,Kenya,Somalia,36.7352,-2.3061,386426.39,1998-01-01,1998-01-20,News,86,346000,Tropical cyclone,2.0
1313,0,Somalia,0,44.0844,2.27983,244738.52,1997-10-15,1998-01-09,News,2311,250000,Heavy rain,1.0
1350,0,Tanzania,0,37.4212,-6.9505,169775.58,1998-04-27,1998-05-04,News,5,4600,Brief torrential rain,1.0
1365,0,Somalia,0,41.8261,0.671164,100633.14,1998-05-19,1998-05-21,News,0,0,Heavy rain,1.0
1374,0,Kenya,0,37.167,-0.955933,106206.57,1998-05-27,1998-05-31,News,19,800,Heavy rain,1.0
1408,0,Somalia,0,45.5657,2.63895,29465.97,1998-06-24,1998-06-25,News,22,2000,Heavy rain,1.0
1415,0,Somalia,0,45.5127,3.04611,65726.76,1998-07-13,1998-07-17,News,0,500,Heavy rain,1.0
1418,0,Uganda,0,32.7263,0.648437,3408.41,1998-07-20,1998-07-24,News,0,20000,Heavy rain,1.0
1472,0,Somalia,0,42.9558,0.917951,8692.64,1998-11-18,1998-11-30,News,0,300,Heavy rain,1.0
1430,0,Ethiopia,0,34.023,7.75432,28907.15,1998-08-10,1998-08-17,News,3,66000,Brief torrential rain,1.0
1435,0,Sudan,0,34.2833,17.1112,326113.13,1998-08-28,1998-09-10,News,25,816000,Heavy rain,2.0
1534,0,Sudan,0,32.4508,15.5737,167131.59,1999-08-01,1999-09-10,News,40,80000,Heavy rain,1.0
1550,0,Ethiopia,0,39.2098,9.64183,216423.75,1999-08-23,1999-09-07,News,0,6755,Heavy rain,1.0
1566,0,Ethiopia,0,37.5862,3.69145,197601.55,1999-10-30,1999-11-02,News,34,79000,Brief torrential rain,1.0
1598,0,Somalia,0,42.6386,0.422961,46258.96,2000-05-01,2000-05-30,News,0,3500,Heavy rain,1.0
