id,name,country,disaster_type,year,month,day
52004,Ethiopia: Floods - May 2024,Ethiopia,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2024,5,8
52002,Uganda: Floods - May 2024,Uganda,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}, {'id': 4728, 'name': 'Land Slide', 'code': 'LS'}]",2024,5,1
51991,Rwanda: Floods - Apr 2024,Rwanda,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}, {'id': 4728, 'name': 'Land Slide', 'code': 'LS'}]",2024,4,20
51982,Tanzania: Floods - Apr 2024,United Republic of Tanzania,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}, {'id': 4728, 'name': 'Land Slide', 'code': 'LS'}]",2024,4,7
51980,Somalia: Floods - Apr 2024,Somalia,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2024,4,19
51963,Kenya: Floods - Apr 2024,Kenya,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2024,4,9
51873,South Sudan: Hepatitis E Outbreak - Sep 2023,South Sudan,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2023,9,26
51840,Uganda: Anthrax Outbreak - Nov 2023,Uganda,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2023,11,29
51815,Burundi: Floods and Landslides - Oct 2023,Burundi,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}, {'id': 4728, 'name': 'Land Slide', 'code': 'LS'}]",2023,10,26
51811,Tanzania: Floods - Nov 2023,United Republic of Tanzania,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2023,11,11
51809,Tanzania: Cholera Outbreak - Jul 2023,United Republic of Tanzania,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2023,7,1
51801,Ethiopia: Floods - Nov 2023,Ethiopia,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2023,11,2
51799,Kenya: Floods - Oct 2023,Kenya,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2023,10,15
51759,Sudan: Floods - Sep 2023,Sudan,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2023,9,15
51757,Somalia: Floods - Oct 2023,Somalia,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2023,10,4
51744,Sudan: Cholera Outbreak - Sep 2023,Sudan,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2023,9,26
51569,Rwanda: Floods and Landslides - May 2023,Rwanda,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}, {'id': 4728, 'name': 'Land Slide', 'code': 'LS'}]",2023,5,2
51549,Tanzania: Floods - Apr 2023,United Republic of Tanzania,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2023,4,1
51543,Kenya: Floods - Mar 2023,Kenya,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2023,3,30
51542,Ethiopia: Floods - Mar 2023,Ethiopia,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2023,3,1
51538,South Sudan: Measles - Dec 2022,South Sudan,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2022,12,10
51537,Tanzania: Marburg Virus Disease Outbreak - Mar 2023,United Republic of Tanzania,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2023,3,16
51530,Somalia: Floods - Mar 2023,Somalia,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2023,3,12
51442,Burundi: Cholera Outbreak - Jan 2023,Burundi,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2023,1,1
51402,Kenya: Cholera Outbreak - Oct 2022,Kenya,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2022,10,8
