"rw-river-article__title","rw-river-article__title href","rw-entity-meta__tag-link","rw-entity-meta__tag-link href","rw-entity-meta__tag-label 3","rw-entity-meta__tag-link 2","rw-entity-meta__tag-link href 2"
"Influenza A (H1N1) Pandemic - Apr 2009","https://reliefweb.int/disaster/ep-2009-000084-mex","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected countries","World","https://reliefweb.int/country/wld"
"Burundi: Floods - Apr 2009","https://reliefweb.int/disaster/fl-2009-000075-bdi","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Burundi","https://reliefweb.int/country/bdi"
"Ethiopia: Flash Floods - Nov 2008","https://reliefweb.int/disaster/ff-2008-000227-eth","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected country","Ethiopia","https://reliefweb.int/country/eth"
"Sudan: Floods - Oct 2008","https://reliefweb.int/disaster/fl-2008-000207-sdn","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Sudan","https://reliefweb.int/country/sdn"
"Burundi: Floods - Sep 2008","https://reliefweb.int/disaster/fl-2008-000187-bdi","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Burundi","https://reliefweb.int/country/bdi"
"Rwanda: Floods - Oct 2008","https://reliefweb.int/disaster/fl-2008-000182-rwa","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Rwanda","https://reliefweb.int/country/rwa"
"Somalia: Floods - Oct 2008","https://reliefweb.int/disaster/fl-2008-000185-som","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Somalia","https://reliefweb.int/country/som"
"Kenya: Floods - Oct 2008","https://reliefweb.int/disaster/fl-2008-000217-ken","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Kenya","https://reliefweb.int/country/ken"
"Uganda: Floods - Sep 2008","https://reliefweb.int/disaster/fl-2008-000175-uga","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Uganda","https://reliefweb.int/country/uga"
"Ethiopia: Flash Flood - Aug 2008","https://reliefweb.int/disaster/ff-2008-000141-eth","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected country","Ethiopia","https://reliefweb.int/country/eth"
"Sudan: Floods - Aug 2008","https://reliefweb.int/disaster/fl-2008-000125-sdn","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Sudan","https://reliefweb.int/country/sdn"
"Kenya: Flash Floods - Jun 2008","https://reliefweb.int/disaster/ff-2008-000092-ken","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected country","Kenya","https://reliefweb.int/country/ken"
"Somalia: Floods - Jun 2008","https://reliefweb.int/disaster/fl-2008-000091-som","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Somalia","https://reliefweb.int/country/som"
"Tanzania: Technical Accident and Floods - Apr 2008","https://reliefweb.int/disaster/ac-2008-000040-tza","Technological Disaster","https://reliefweb.int/disasters?list=Technological%20Disaster%20Disasters&advanced-search=%28TY4620%29","Affected country","Tanzania","https://reliefweb.int/country/tza"
"Great Lakes: Earthquake - Feb 2008","https://reliefweb.int/disaster/eq-2008-000017-cod","Earthquake","https://reliefweb.int/disasters?list=Earthquake%20Disasters&advanced-search=%28TY4628%29","Affected countries","DR Congo","https://reliefweb.int/country/cod"
"Tanzania: Floods - Jan 2008","https://reliefweb.int/disaster/fl-2008-000011-tza","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Tanzania","https://reliefweb.int/country/tza"
"Kenya: Floods - Dec 2007","https://reliefweb.int/disaster/fl-2007-000221-ken","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Kenya","https://reliefweb.int/country/ken"
"Uganda: Ebola Outbreak - Nov 2007","https://reliefweb.int/disaster/ep-2007-000219-uga","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected country","Uganda","https://reliefweb.int/country/uga"
"Rwanda: Floods - Sep 2007","https://reliefweb.int/disaster/fl-2007-000159-rwa","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Rwanda","https://reliefweb.int/country/rwa"
"Ethiopia: Floods - Aug 2007","https://reliefweb.int/disaster/fl-2007-000145-eth","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Ethiopia","https://reliefweb.int/country/eth"
