"rw-river-article__title","rw-river-article__title href","rw-entity-meta__tag-link","rw-entity-meta__tag-link href","rw-entity-meta__tag-label 3","rw-entity-meta__tag-link 2","rw-entity-meta__tag-link href 2","rw-entity-meta__tag-value__list__item"
"Uganda: Floods - Aug 2007","https://reliefweb.int/disaster/fl-2007-000138-uga","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Uganda","https://reliefweb.int/country/uga",""
"Kenya: Floods - Aug 2007","https://reliefweb.int/disaster/fl-2007-000139-ken","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Kenya","https://reliefweb.int/country/ken",""
"East Africa: Floods - Aug 2007","https://reliefweb.int/disaster/fl-2007-000161-uga","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected countries","Ethiopia","https://reliefweb.int/country/eth","5 more"
"Kenya: Landslides - Aug 2007","https://reliefweb.int/disaster/ls-2007-000128-ken","Land Slide","https://reliefweb.int/disasters?list=Land%20Slide%20Disasters&advanced-search=%28TY4728%29","Affected country","Kenya","https://reliefweb.int/country/ken",""
"Uganda: Marburg Fever Outbreak - Jul 2007","https://reliefweb.int/disaster/ep-2007-000140-uga","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected country","Uganda","https://reliefweb.int/country/uga",""
"Sudan: Floods - Jul 2007","https://reliefweb.int/disaster/fl-2007-000093-sdn","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Sudan","https://reliefweb.int/country/sdn",""
"Kenya: Floods - May 2007","https://reliefweb.int/disaster/fl-2007-000076-ken","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Kenya","https://reliefweb.int/country/ken",""
"Burundi: Floods - Dec 2006","https://reliefweb.int/disaster/fl-2006-000190-bdi","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Burundi","https://reliefweb.int/country/bdi",""
"Horn of Africa: Floods - Nov 2006","https://reliefweb.int/disaster/fl-2006-000169-som","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected countries","Ethiopia","https://reliefweb.int/country/eth","2 more"
"Tanzania: Heavy Rains - Nov 2006","https://reliefweb.int/disaster/fl-2006-000164-tza","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Tanzania","https://reliefweb.int/country/tza",""
"Uganda: Floods - Aug 2006","https://reliefweb.int/disaster/fl-2006-000124-uga","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Uganda","https://reliefweb.int/country/uga",""
"Sudan: Floods - Aug 2006","https://reliefweb.int/disaster/fl-2006-000123-sdn","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Sudan","https://reliefweb.int/country/sdn",""
"Ethiopia: Floods - Aug 2006","https://reliefweb.int/disaster/fl-2006-000112-eth","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Ethiopia","https://reliefweb.int/country/eth",""
"Tanzania: Floods - May 2006","https://reliefweb.int/disaster/fl-2006-000065-tza","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Tanzania","https://reliefweb.int/country/tza",""
"Kenya: Flash Floods - Apr 2006","https://reliefweb.int/disaster/ff-2006-000046-ken","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected country","Kenya","https://reliefweb.int/country/ken",""
"East Africa: Earthquake - Dec 2005","https://reliefweb.int/disaster/eq-2005-000203-tza","Earthquake","https://reliefweb.int/disasters?list=Earthquake%20Disasters&advanced-search=%28TY4628%29","Affected countries","Burundi","https://reliefweb.int/country/bdi","5 more"
"Sudan: Floods - Oct 2005","https://reliefweb.int/disaster/fl-2005-000175-sdn","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Sudan","https://reliefweb.int/country/sdn",""
"Sudan: Floods - Aug 2005","https://reliefweb.int/disaster/fl-2005-000129-sdn","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Sudan","https://reliefweb.int/country/sdn",""
"Somalia: Heavy rains - Apr 2005","https://reliefweb.int/disaster/st-2005-000066-som","Severe Local Storm","https://reliefweb.int/disasters?list=Severe%20Local%20Storm%20Disasters&advanced-search=%28TY4656%29","Affected country","Somalia","https://reliefweb.int/country/som",""
"Horn of Africa: Floods - Apr 2005","https://reliefweb.int/disaster/fl-2005-000064-eth","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected countries","Ethiopia","https://reliefweb.int/country/eth","2 more"
