"rw-river-article__title","rw-river-article__title href","rw-entity-meta__tag-label 2","rw-entity-meta__tag-link","rw-entity-meta__tag-link href","rw-entity-meta__tag-label 3","rw-entity-meta__tag-link 2","rw-entity-meta__tag-link href 2","rw-entity-meta__tag-value__list__item"
"Tanzania: Floods - Apr 2005","https://reliefweb.int/disaster/fl-2005-000062-tza","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Tanzania","https://reliefweb.int/country/tza",""
"Djibouti: Drought - Apr 2005","https://reliefweb.int/disaster/dr-2005-000061-dji","Disaster type","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","Affected countries","Eritrea","https://reliefweb.int/country/eri","2 more"
"South Asia: Earthquake and Tsunami - Dec 2004","https://reliefweb.int/disaster/ts-2004-000147-idn","Disaster types","Earthquake","https://reliefweb.int/disasters?list=Earthquake%20Disasters&advanced-search=%28TY4628%29","Affected countries","Indonesia","https://reliefweb.int/country/idn","10 more"
"Locusts - Aug 2004","https://reliefweb.int/disaster/2004-000071-mrt","Disaster type","Insect Infestation","https://reliefweb.int/disasters?list=Insect%20Infestation%20Disasters&advanced-search=%28TY5255%29","Affected countries","Algeria","https://reliefweb.int/country/dza","28 more"
"Kenya: Floods - May 2004","https://reliefweb.int/disaster/fl-2004-000020-ken","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Kenya","https://reliefweb.int/country/ken",""
"Djibouti: Floods - Apr 2004","https://reliefweb.int/disaster/2004-0158","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Djibouti","https://reliefweb.int/country/dji",""
"Sudan: Floods - Jul 2003","https://reliefweb.int/disaster/fl-2003-000368-sdn","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Sudan","https://reliefweb.int/country/sdn",""
"Horn of Africa: Floods - May 2003","https://reliefweb.int/disaster/fl-2003-000204-ken","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected countries","Ethiopia","https://reliefweb.int/country/eth","2 more"
"Kenya: Floods - May 2002","https://reliefweb.int/disaster/fl-2002-000265-ken","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected countries","Kenya","https://reliefweb.int/country/ken","1 more"
"Ethiopia: Floods - Apr 2002","https://reliefweb.int/disaster/fl-2002-000225-eth","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Ethiopia","https://reliefweb.int/country/eth",""
"Djibouti: Toxic Pollution - Mar 2002","https://reliefweb.int/disaster/ac-2002-000140-dji","Disaster type","Technological Disaster","https://reliefweb.int/disasters?list=Technological%20Disaster%20Disasters&advanced-search=%28TY4620%29","Affected country","Djibouti","https://reliefweb.int/country/dji",""
"DR Congo: Volcano Nyiragongo - Jan 2002","https://reliefweb.int/disaster/vo-2002-000033-cod","Disaster type","Volcano","https://reliefweb.int/disasters?list=Volcano%20Disasters&advanced-search=%28TY4615%29","Affected countries","DR Congo","https://reliefweb.int/country/cod","1 more"
"Sudan: Floods - Aug 2001","https://reliefweb.int/disaster/fl-2001-000417-sdn","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Sudan","https://reliefweb.int/country/sdn",""
"DR Congo: Volcanic Activity Nyamulagira - Feb 2001","https://reliefweb.int/disaster/vo-2001-000732-cod","Disaster type","Volcano","https://reliefweb.int/disasters?list=Volcano%20Disasters&advanced-search=%28TY4615%29","Affected countries","DR Congo","https://reliefweb.int/country/cod","2 more"
"Tanzania: Earthquake - Oct 2000","https://reliefweb.int/disaster/eq-2000-000653-tza","Disaster type","Earthquake","https://reliefweb.int/disasters?list=Earthquake%20Disasters&advanced-search=%28TY4628%29","Affected country","Tanzania","https://reliefweb.int/country/tza",""
"Kenya: Drought - Jan 2000","https://reliefweb.int/disaster/dr-2000-000022-ken","Disaster type","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","Affected countries","Ethiopia","https://reliefweb.int/country/eth","1 more"
"Rwanda: Drought - Nov 1999","https://reliefweb.int/disaster/dr-1999-000458-rwa","Disaster type","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","Affected country","Rwanda","https://reliefweb.int/country/rwa",""
"Sudan: Floods - Aug 1999","https://reliefweb.int/taxonomy/term/5823","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Sudan","https://reliefweb.int/country/sdn",""
"Djibouti: Drought - Aug 1999","https://reliefweb.int/disaster/dr-1999-000267-dji","Disaster type","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","Affected countries","Djibouti","https://reliefweb.int/country/dji","1 more"
"Ethiopia: Drought - Jul 1999","https://reliefweb.int/disaster/dr-1999-000148-eth","Disaster type","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","Affected country","Ethiopia","https://reliefweb.int/country/eth",""
