"rw-river-article__title","rw-river-article__title href","rw-entity-meta__tag-link","rw-entity-meta__tag-link href","rw-entity-meta__tag-link 2","rw-entity-meta__tag-link href 2"
"Sudan: Floods - Sep 1998","https://reliefweb.int/disaster/fl-1998-000251-sdn","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Sudan","https://reliefweb.int/country/sdn"
"Tanzania: Floods - May 1998","https://reliefweb.int/disaster/fl-1998-000112-tza","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Tanzania","https://reliefweb.int/country/tza"
"Ethiopia: Floods - Nov 1997","https://reliefweb.int/disaster/fl-1997-000270-eth","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Ethiopia","https://reliefweb.int/country/eth"
"Uganda: Floods - Nov 1997","https://reliefweb.int/disaster/fl-1997-000301-uga","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Uganda","https://reliefweb.int/country/uga"
"Kenya: Floods - Nov 1997","https://reliefweb.int/disaster/fl-1997-000255-ken","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Kenya","https://reliefweb.int/country/ken"
"Somalia: Floods - Nov 1997","https://reliefweb.int/disaster/fl-1997-000265-som","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Somalia","https://reliefweb.int/country/som"
"Tanzania: Fires - Oct 1997","https://reliefweb.int/disaster/wf-1997-000262-tza","Wild Fire","https://reliefweb.int/disasters?list=Wild%20Fire%20Disasters&advanced-search=%28TY4648%29","Tanzania","https://reliefweb.int/country/tza"
"Tanzania: Floods - Apr 1997","https://reliefweb.int/disaster/fl-1997-000049-tza","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Tanzania","https://reliefweb.int/country/tza"
"Ethiopia: Drought - Apr 1997","https://reliefweb.int/disaster/dr-1997-000091-eth","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","Ethiopia","https://reliefweb.int/country/eth"
"Kenya: Drought - Feb 1997","https://reliefweb.int/disaster/dr-1997-000024-ken","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","Kenya","https://reliefweb.int/country/ken"
"Ethiopia: Floods - Aug 1996","https://reliefweb.int/taxonomy/term/6617","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Ethiopia","https://reliefweb.int/country/eth"
"Sudan: Floods - Aug 1996","https://reliefweb.int/taxonomy/term/4918","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Sudan","https://reliefweb.int/country/sdn"
"Djibouti: Drought - Jul 1996","https://reliefweb.int/taxonomy/term/5479","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","Djibouti","https://reliefweb.int/country/dji"
"Somalia: Floods - Nov 1995","https://reliefweb.int/taxonomy/term/5618","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Somalia","https://reliefweb.int/country/som"
"Rwanda: Chemical Accident - Sep 1995","https://reliefweb.int/taxonomy/term/4903","Technological Disaster","https://reliefweb.int/disasters?list=Technological%20Disaster%20Disasters&advanced-search=%28TY4620%29","Rwanda","https://reliefweb.int/country/rwa"
"Tanzania: Floods - May 1995","https://reliefweb.int/taxonomy/term/5894","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Tanzania","https://reliefweb.int/country/tza"
"Ethiopia: Floods - May 1995","https://reliefweb.int/taxonomy/term/5232","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Ethiopia","https://reliefweb.int/country/eth"
"Djibouti: Floods - Nov 1994","https://reliefweb.int/taxonomy/term/5710","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Djibouti","https://reliefweb.int/country/dji"
"Sudan: Floods - Sep 1994","https://reliefweb.int/taxonomy/term/6628","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Sudan","https://reliefweb.int/country/sdn"
"Uganda: Earthquake - Feb 1994","https://reliefweb.int/taxonomy/term/5288","Earthquake","https://reliefweb.int/disasters?list=Earthquake%20Disasters&advanced-search=%28TY4628%29","Uganda","https://reliefweb.int/country/uga"
