"rw-river-article__title","rw-river-article__title href","rw-entity-meta__tag-label 2","rw-entity-meta__tag-link","rw-entity-meta__tag-link href","rw-entity-meta__tag-label 3","rw-entity-meta__tag-link 2","rw-entity-meta__tag-link href 2","rw-entity-meta__tag-value__list__item 2"
"Tropical Cyclone Pawan - Dec 2019","https://reliefweb.int/disaster/tc-2019-000165-som","Disaster type","Tropical Cyclone","https://reliefweb.int/disasters?list=Tropical%20Cyclone%20Disasters&advanced-search=%28TY4618%29","Affected countries","Somalia","https://reliefweb.int/country/som",""
"Burundi: Floods and Landslides - Dec 2019","https://reliefweb.int/disaster/fl-2019-000167-bdi","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Burundi","https://reliefweb.int/country/bdi","1 more"
"Djibouti: Floods - Nov 2019","https://reliefweb.int/disaster/fl-2019-000156-dji","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected country","Djibouti","https://reliefweb.int/country/dji","1 more"
"Kenya: Floods and Landslides - Oct 2019","https://reliefweb.int/disaster/fl-2019-000138-ken","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected country","Kenya","https://reliefweb.int/country/ken","2 more"
"Somalia: Floods - Oct 2019","https://reliefweb.int/disaster/fl-2019-000133-som","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected country","Somalia","https://reliefweb.int/country/som","1 more"
"Uganda: Floods and Landslides - Oct 2019","https://reliefweb.int/disaster/fl-2019-000163-uga","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Uganda","https://reliefweb.int/country/uga","2 more"
"Tanzania: Floods - Oct 2019","https://reliefweb.int/disaster/fl-2019-000145-tza","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Tanzania","https://reliefweb.int/country/tza",""
"Sudan: Rift Valley Fever Outbreak - Oct 2019","https://reliefweb.int/disaster/ep-2019-000150-sdn","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected country","Sudan","https://reliefweb.int/country/sdn",""
"Horn of Africa: Locust Infestation - Oct 2019","https://reliefweb.int/disaster/2019-000149-eth","Disaster type","Insect Infestation","https://reliefweb.int/disasters?list=Insect%20Infestation%20Disasters&advanced-search=%28TY5255%29","Affected countries","Ethiopia","https://reliefweb.int/country/eth",""
"Sudan: Cholera Outbreak - Sep 2019","https://reliefweb.int/disaster/ep-2019-000113-sdn","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected country","Sudan","https://reliefweb.int/country/sdn",""
"Ethiopia: Floods - Aug 2019","https://reliefweb.int/disaster/fl-2019-000116-eth","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected country","Ethiopia","https://reliefweb.int/country/eth","1 more"
"Sudan: Dengue Fever Outbreak - Aug 2019","https://reliefweb.int/disaster/ep-2019-000155-sdn","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected country","Sudan","https://reliefweb.int/country/sdn",""
"South Sudan: Floods - Jun 2019","https://reliefweb.int/disaster/fl-2019-000062-ssd","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","South Sudan","https://reliefweb.int/country/ssd",""
"Ethiopia: Cholera Outbreak - Jun 2019","https://reliefweb.int/disaster/ep-2019-000080-eth","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected country","Ethiopia","https://reliefweb.int/country/eth",""
"Burundi: Cholera Outbreak - Jun 2019","https://reliefweb.int/disaster/ep-2019-000124-bdi","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected country","Burundi","https://reliefweb.int/country/bdi",""
"Uganda: Floods and Landslides - Jun 2019","https://reliefweb.int/disaster/fl-2019-000067-uga","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Uganda","https://reliefweb.int/country/uga","1 more"
"Sudan: Floods - Jun 2019","https://reliefweb.int/disaster/fl-2019-000064-sdn","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Sudan","https://reliefweb.int/country/sdn","1 more"
"Tanzania: Floods - May 2019","https://reliefweb.int/disaster/fl-2019-000048-tza","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Tanzania","https://reliefweb.int/country/tza",""
"Burundi: Malaria Outbreak - May 2019","https://reliefweb.int/disaster/ep-2019-000060-bdi","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected country","Burundi","https://reliefweb.int/country/bdi",""
"Tropical Cyclone Kenneth - Apr 2019","https://reliefweb.int/disaster/tc-2019-000038-moz","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected countries","Mozambique","https://reliefweb.int/country/moz","2 more"
