"rw-river-article__title","rw-river-article__title href","rw-entity-meta__tag-label 2","rw-entity-meta__tag-link","rw-entity-meta__tag-link href","rw-entity-meta__tag-label 3","rw-entity-meta__tag-link 2","rw-entity-meta__tag-link href 2","rw-entity-meta__tag-value__list__item","rw-entity-meta__tag-value__list__item 2"
"Kenya: Cholera Outbreak - Jan 2019","https://reliefweb.int/disaster/ep-2019-000109-ken","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected country","Kenya","https://reliefweb.int/country/ken","",""
"South Sudan: Measles Outbreak - Dec 2018","https://reliefweb.int/disaster/ep-2018-000430-ssd","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected country","South Sudan","https://reliefweb.int/country/ssd","",""
"Southern Africa: Drought - 2018-2022","https://reliefweb.int/disaster/dr-2018-000429-zwe","Disaster type","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","Affected countries","Malawi","https://reliefweb.int/country/mwi","11 more",""
"Tropical Cyclone Luban - Oct 2018","https://reliefweb.int/disaster/tc-2018-000163-yem","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected countries","Yemen","https://reliefweb.int/country/yem","2 more","1 more"
"Horn of Africa: Polio Outbreak - Aug 2018","https://reliefweb.int/disaster/ep-2018-000161-som","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected countries","Somalia","https://reliefweb.int/country/som","2 more",""
"DR Congo: Ebola Outbreak - Aug 2018","https://reliefweb.int/disaster/ep-2018-000129-cod","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected countries","DR Congo","https://reliefweb.int/country/cod","1 more",""
"Sudan: Floods - Jul 2018","https://reliefweb.int/disaster/fl-2018-000128-sdn","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected country","Sudan","https://reliefweb.int/country/sdn","","1 more"
"Tropical Cyclone Mekunu - May 2018","https://reliefweb.int/disaster/tc-2018-000062-yem","Disaster type","Tropical Cyclone","https://reliefweb.int/disasters?list=Tropical%20Cyclone%20Disasters&advanced-search=%28TY4618%29","Affected countries","Yemen","https://reliefweb.int/country/yem","2 more",""
"Tropical Cyclone Sagar - May 2018","https://reliefweb.int/disaster/tc-2018-000059-som","Disaster type","Tropical Cyclone","https://reliefweb.int/disasters?list=Tropical%20Cyclone%20Disasters&advanced-search=%28TY4618%29","Affected countries","Somalia","https://reliefweb.int/country/som","3 more",""
"Burundi: Floods - Apr 2018","https://reliefweb.int/disaster/fl-2018-000054-bdi","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Burundi","https://reliefweb.int/country/bdi","",""
