"rw-river-article__title","rw-river-article__title href","rw-entity-meta__tag-value--status--past","rw-entity-meta__tag-label 2","rw-entity-meta__tag-link","rw-entity-meta__tag-link href","rw-entity-meta__tag-value__list__item","rw-entity-meta__tag-label 3","rw-entity-meta__tag-link 2","rw-entity-meta__tag-link href 2"
"Sudan: Floods - Jun 2017","https://reliefweb.int/disaster/fl-2017-000088-sdn","Past Disaster","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","1 more","Affected country","Sudan","https://reliefweb.int/country/sdn"
"Ethiopia: Measles Outbreak - May 2017","https://reliefweb.int/disaster/ep-2017-000069-eth","Past Disaster","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Ethiopia","https://reliefweb.int/country/eth"
"East Africa: Armyworm Infestation - Mar 2017","https://reliefweb.int/disaster/2017-000041-ken","Past Disaster","Disaster type","Insect Infestation","https://reliefweb.int/disasters?list=Insect%20Infestation%20Disasters&advanced-search=%28TY5255%29","5 more","Affected countries","Kenya","https://reliefweb.int/country/ken"
"Rwanda: Severe Local Storm - Apr 2017","https://reliefweb.int/disaster/st-2017-000035-rwa","Past Disaster","Disaster type","Severe Local Storm","https://reliefweb.int/disasters?list=Severe%20Local%20Storm%20Disasters&advanced-search=%28TY4656%29","","Affected country","Rwanda","https://reliefweb.int/country/rwa"
"Burundi: Malaria Outbreak - Mar 2017","https://reliefweb.int/disaster/ep-2017-000034-bdi","Past Disaster","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Burundi","https://reliefweb.int/country/bdi"
"Southern Africa: Armyworm Infestation - Jan 2017","https://reliefweb.int/disaster/2017-000019-zmb","Past Disaster","Disaster type","Insect Infestation","https://reliefweb.int/disasters?list=Insect%20Infestation%20Disasters&advanced-search=%28TY5255%29","10 more","Affected countries","Zimbabwe","https://reliefweb.int/country/zwe"
"Somalia: Measles Outbreak - Dec 2016","https://reliefweb.int/disaster/ep-2016-000131-som","","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Somalia","https://reliefweb.int/country/som"
"Tanzania: Earthquake - Sept 2016","https://reliefweb.int/disaster/eq-2016-000098-tza","Past Disaster","Disaster type","Earthquake","https://reliefweb.int/disasters?list=Earthquake%20Disasters&advanced-search=%28TY4628%29","1 more","Affected countries","Tanzania","https://reliefweb.int/country/tza"
"Burundi: Cholera Outbreak - Jul 2016","https://reliefweb.int/disaster/ce-2015-000182-bdi","Past Disaster","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Burundi","https://reliefweb.int/country/bdi"
"South Sudan: Cholera Outbreak - Jul 2016","https://reliefweb.int/disaster/ep-2016-000074-ssd","Past Disaster","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","1 more","Affected countries","South Sudan","https://reliefweb.int/country/ssd"
"Ethiopia: Acute Watery Diarrhoea (AWD) Outbreak - May 2016","https://reliefweb.int/disaster/ep-2016-000143-eth","Past Disaster","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Ethiopia","https://reliefweb.int/country/eth"
"Sudan: Floods - Jun 2016","https://reliefweb.int/disaster/fl-2016-000072-sdn","Past Disaster","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","1 more","Affected country","Sudan","https://reliefweb.int/country/sdn"
"Somalia: Floods - May 2016","https://reliefweb.int/disaster/fl-2016-000046-som","Past Disaster","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Affected country","Somalia","https://reliefweb.int/country/som"
"Kenya: Floods - Apr 2016","https://reliefweb.int/disaster/fl-2016-000042-ken","Past Disaster","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Affected country","Kenya","https://reliefweb.int/country/ken"
"Somalia: Cholera Outbreak - Apr 2016","https://reliefweb.int/disaster/ep-2016-000053-som","","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Somalia","https://reliefweb.int/country/som"
"Uganda: Yellow Fever Outbreak - Apr 2016","https://reliefweb.int/disaster/ep-2016-000059-uga","Past Disaster","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Uganda","https://reliefweb.int/country/uga"
"Ethiopia: Floods - Apr 2016","https://reliefweb.int/disaster/fl-2016-000045-eth","Past Disaster","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Affected country","Ethiopia","https://reliefweb.int/country/eth"
"Tanzania: Floods - Jan 2016","https://reliefweb.int/disaster/fl-2016-000011-tza","Past Disaster","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Affected country","Tanzania","https://reliefweb.int/country/tza"
"Kenya: Floods - Nov 2015","https://reliefweb.int/disaster/fl-2015-000169-ken","Past Disaster","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","3 more","Affected country","Kenya","https://reliefweb.int/country/ken"
"Tropical Cyclone Megh - Nov 2015","https://reliefweb.int/disaster/tc-2015-000152-yem","Past Disaster","Disaster type","Tropical Cyclone","https://reliefweb.int/disasters?list=Tropical%20Cyclone%20Disasters&advanced-search=%28TY4618%29","1 more","Affected countries","Yemen","https://reliefweb.int/country/yem"
