"rw-river-article__title","rw-river-article__title href","rw-entity-meta__tag-value--status--past","rw-entity-meta__tag-label 2","rw-entity-meta__tag-link","rw-entity-meta__tag-link href","rw-entity-meta__tag-label 3","rw-entity-meta__tag-link 2","rw-entity-meta__tag-link href 2","rw-entity-meta__tag-value__list__item"
"Burundi: Floods - Nov 2015","https://reliefweb.int/disaster/fl-2015-000176-bdi","Past Disaster","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Burundi","https://reliefweb.int/country/bdi",""
"Tropical Cyclone Chapala - Nov 2015","https://reliefweb.int/disaster/tc-2015-000149-yem","Past Disaster","Disaster type","Tropical Cyclone","https://reliefweb.int/disasters?list=Tropical%20Cyclone%20Disasters&advanced-search=%28TY4618%29","Affected countries","Yemen","https://reliefweb.int/country/yem","2 more"
"Ethiopia: Floods - Oct 2015","https://reliefweb.int/disaster/fl-2015-000161-eth","Past Disaster","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected country","Ethiopia","https://reliefweb.int/country/eth","1 more"
"Somalia: Floods - Oct 2015","https://reliefweb.int/disaster/fl-2015-000145-som","Past Disaster","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Affected country","Somalia","https://reliefweb.int/country/som","1 more"
"South Sudan: Food Insecurity - 2015-2022","https://reliefweb.int/disaster/ce-2015-000183-ssd","Past Disaster","Disaster types","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","Affected country","South Sudan","https://reliefweb.int/country/ssd","1 more"
"South Sudan: Cholera Outbreak - Jun 2015","https://reliefweb.int/disaster/ep-2015-000073-ssd","Past Disaster","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected country","South Sudan","https://reliefweb.int/country/ssd",""
"Ethiopia: Drought - 2015-2024","https://reliefweb.int/disaster/dr-2015-000109-eth","","Disaster type","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","Affected country","Ethiopia","https://reliefweb.int/country/eth",""
"Somalia: Drought - 2015-2024","https://reliefweb.int/disaster/dr-2015-000134-som","","Disaster type","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","Affected country","Somalia","https://reliefweb.int/country/som",""
"Burundi/Tanzania: Cholera Outbreak - May 2015","https://reliefweb.int/disaster/ep-2015-000058-tza","Past Disaster","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Affected countries","Tanzania","https://reliefweb.int/country/tza","1 more"
"Rwanda: Floods and Landslides - Apr 2015","https://reliefweb.int/disaster/fl-2015-000042-rwa","Past Disaster","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Affected country","Rwanda","https://reliefweb.int/country/rwa","1 more"
