"rw-river-article__title","rw-river-article__title href","rw-entity-meta__tag-label 2","rw-entity-meta__tag-link","rw-entity-meta__tag-link href","rw-entity-meta__tag-value__list__item","rw-entity-meta__tag-link 2","rw-entity-meta__tag-link href 2"
"Ethiopia: Floods - Apr 2013","https://reliefweb.int/disaster/fl-2013-000050-eth","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","1 more","Ethiopia","https://reliefweb.int/country/eth"
"Kenya: Floods - Mar 2013","https://reliefweb.int/disaster/fl-2013-000038-ken","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","1 more","Kenya","https://reliefweb.int/country/ken"
"Kenya: Floods - Jan 2013","https://reliefweb.int/disaster/fl-2013-000004-ken","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","2 more","Kenya","https://reliefweb.int/country/ken"
"Sudan: Yellow Fever Outbreak - Oct 2012","https://reliefweb.int/disaster/ep-2012-000184-sdn","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Sudan","https://reliefweb.int/country/sdn"
"Uganda: Marburg Fever Outbreak - Oct 2012","https://reliefweb.int/disaster/ep-2012-000182-uga","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Uganda","https://reliefweb.int/country/uga"
"Burundi: Cholera Outbreak - Oct 2012","https://reliefweb.int/disaster/ep-2012-000187-bdi","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Burundi","https://reliefweb.int/country/bdi"
"Somalia: Floods - Sep 2012","https://reliefweb.int/disaster/fl-2012-000173-som","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Somalia","https://reliefweb.int/country/som"
"Uganda: Ebola Outbreak - Jul 2012","https://reliefweb.int/disaster/ep-2012-000124-uga","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Uganda","https://reliefweb.int/country/uga"
"South Sudan: Floods - Jun 2012","https://reliefweb.int/disaster/fl-2012-000128-ssd","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","South Sudan","https://reliefweb.int/country/ssd"
"Sudan: Floods - Jun 2012","https://reliefweb.int/disaster/fl-2012-000129-sdn","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Sudan","https://reliefweb.int/country/sdn"
"Uganda: Landslides - Jun 2012","https://reliefweb.int/disaster/ls-2012-000105-uga","Disaster type","Land Slide","https://reliefweb.int/disasters?list=Land%20Slide%20Disasters&advanced-search=%28TY4728%29","","Uganda","https://reliefweb.int/country/uga"
"Ethiopia: Floods - May 2012","https://reliefweb.int/disaster/ff-2012-000081-eth","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","1 more","Ethiopia","https://reliefweb.int/country/eth"
"Rwanda: Floods - Apr 2012","https://reliefweb.int/disaster/fl-2012-000067-rwa","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Rwanda","https://reliefweb.int/country/rwa"
"Kenya: Floods - Apr 2012","https://reliefweb.int/disaster/ff-2012-000062-ken","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","2 more","Kenya","https://reliefweb.int/country/ken"
"Uganda: Cholera Outbreak - Feb 2012","https://reliefweb.int/disaster/ep-2012-000031-uga","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Uganda","https://reliefweb.int/country/uga"
"Tanzania: Floods and Landslides - Dec 2011","https://reliefweb.int/disaster/fl-2011-000183-tza","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Tanzania","https://reliefweb.int/country/tza"
"Somalia: Floods - Oct 2011","https://reliefweb.int/disaster/fl-2011-000161-som","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","1 more","Somalia","https://reliefweb.int/country/som"
"South Sudan: Flash Floods - Sep 2011","https://reliefweb.int/disaster/ff-2011-000143-ssd","Disaster type","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","","South Sudan","https://reliefweb.int/country/ssd"
"Kenya: Floods - Aug 2011","https://reliefweb.int/disaster/fl-2011-000115-ken","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","1 more","Kenya","https://reliefweb.int/country/ken"
"Ethiopia: Floods - Aug 2011","https://reliefweb.int/disaster/fl-2011-000124-eth","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","1 more","Ethiopia","https://reliefweb.int/country/eth"
