"rw-river-article__title","rw-river-article__title href","rw-entity-meta__tag-label 2","rw-entity-meta__tag-link","rw-entity-meta__tag-link href","rw-entity-meta__tag-value__list__item","rw-entity-meta__tag-label 3","rw-entity-meta__tag-link 2","rw-entity-meta__tag-link href 2"
"Uganda: Floods and Mudslides - Aug 2011","https://reliefweb.int/disaster/ms-2011-000110-uga","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","1 more","Affected country","Uganda","https://reliefweb.int/country/uga"
"Sudan: Floods - Aug 2011","https://reliefweb.int/disaster/fl-2011-000120-sdn","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","1 more","Affected country","Sudan","https://reliefweb.int/country/sdn"
"Burundi: Cholera Outbreak - Aug 2011","https://reliefweb.int/disaster/ep-2011-000126-bdi","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Burundi","https://reliefweb.int/country/bdi"
"Horn of Africa Crisis: 2011-2012","https://reliefweb.int/disaster/dr-2011-000029-ken","Disaster types","Drought","https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29","1 more","Affected countries","Somalia","https://reliefweb.int/country/som"
"Rwanda: Severe Local Storm - Apr 2011","https://reliefweb.int/disaster/fl-2011-000051-rwa","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","2 more","Affected country","Rwanda","https://reliefweb.int/country/rwa"
"Uganda: Ebola Outbreak - May 2011","https://reliefweb.int/disaster/ep-2011-000052-uga","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Uganda","https://reliefweb.int/country/uga"
"Burundi: Floods - Mar 2011","https://reliefweb.int/disaster/fl-2011-000037-bdi","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Affected country","Burundi","https://reliefweb.int/country/bdi"
"Kenya: Measles Outbreak - Dec 2010","https://reliefweb.int/disaster/ep-2010-000263-ken","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","","Affected country","Kenya","https://reliefweb.int/country/ken"
"Kenya: Floods - Aug 2010","https://reliefweb.int/disaster/fl-2010-000174-ken","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Affected country","Kenya","https://reliefweb.int/country/ken"
"Ethiopia: Floods - Jul 2010","https://reliefweb.int/disaster/fl-2010-000179-eth","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Affected country","Ethiopia","https://reliefweb.int/country/eth"
"Sudan: Floods - Jul 2010","https://reliefweb.int/disaster/fl-2010-000139-sdn","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Affected country","Sudan","https://reliefweb.int/country/sdn"
"West/Central Africa: Floods - Jun 2010","https://reliefweb.int/disaster/fl-2010-000118-gha","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Affected countries","Benin","https://reliefweb.int/country/ben"
"East Africa: Floods - Mar 2010","https://reliefweb.int/disaster/ls-2010-000040-uga","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Affected countries","Burundi","https://reliefweb.int/country/bdi"
"Somalia: Floods - Mar 2010","https://reliefweb.int/disaster/fl-2010-000041-som","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Affected country","Somalia","https://reliefweb.int/country/som"
"Kenya: Floods - Dec 2009","https://reliefweb.int/disaster/fl-2010-000003-ken","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Affected country","Kenya","https://reliefweb.int/country/ken"
"Tanzania: Floods and landslides - Nov 2009","https://reliefweb.int/disaster/ls-2009-000243-tza","Disaster type","Land Slide","https://reliefweb.int/disasters?list=Land%20Slide%20Disasters&advanced-search=%28TY4728%29","","Affected country","Tanzania","https://reliefweb.int/country/tza"
"Somalia: Floods - Oct 2009","https://reliefweb.int/disaster/ff-2009-000229-som","Disaster type","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","","Affected country","Somalia","https://reliefweb.int/country/som"
"Kenya: Floods - Sep 2009","https://reliefweb.int/disaster/fl-2009-000218-ken","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Affected country","Kenya","https://reliefweb.int/country/ken"
"Sudan: Floods - Aug 2009","https://reliefweb.int/disaster/fl-2009-000166-sdn","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","","Affected country","Sudan","https://reliefweb.int/country/sdn"
"Tanzania: Explosion - May 2009","https://reliefweb.int/disaster/ot-2009-000098-tza","Disaster type","Technological Disaster","https://reliefweb.int/disasters?list=Technological%20Disaster%20Disasters&advanced-search=%28TY4620%29","","Affected country","Tanzania","https://reliefweb.int/country/tza"
